industryCode,industryName,industryType,industryLevel,indexCode
370200,中药Ⅱ,INDUS4CL,2,801155
370201,中药Ⅲ,INDUS4CL,3,851521
370300,生物制品,INDUS4CL,2,801152
370302,血液制品,INDUS4CL,3,851522
370303,疫苗,INDUS4CL,3,851523
370304,其他生物制品,INDUS4CL,3,851524
370400,医药商业,INDUS4CL,2,801154
370402,医药流通,INDUS4CL,3,851542
370403,线下药店,INDUS4CL,3,851543
370404,互联网药店,INDUS4CL,3,851544
370500,医疗器械,INDUS4CL,2,801153
370502,医疗设备,INDUS4CL,3,851532
370503,医疗耗材,INDUS4CL,3,851533
370504,体外诊断,INDUS4CL,3,851534
370600,医疗服务,INDUS4CL,2,801156
370602,诊断服务,INDUS4CL,3,851562
370603,医疗研发外包,INDUS4CL,3,851563
370604,医院,INDUS4CL,3,851564
370605,其他医疗服务,INDUS4CL,3,851565
410000,公用事业,INDUS4CL,1,801160
410100,电力,INDUS4CL,2,801161
410101,火力发电,INDUS4CL,3,851611
410102,水力发电,INDUS4CL,3,851612
410104,热力服务,INDUS4CL,3,851614
410106,光伏发电,INDUS4CL,3,851616
410107,风力发电,INDUS4CL,3,851617
410108,核力发电,INDUS4CL,3,851618
410109,其他能源发电,INDUS4CL,3,851619
410110,电能综合服务,INDUS4CL,3,851610
410300,燃气Ⅱ,INDUS4CL,2,801163
410301,燃气Ⅲ,INDUS4CL,3,851631
420000,交通运输,INDUS4CL,1,801170
420800,物流,INDUS4CL,2,801178
420802,原材料供应链服务,INDUS4CL,3,851782
420803,中间产品及消费品供应链服务,INDUS4CL,3,851783
420804,快递,INDUS4CL,3,851784
420805,跨境物流,INDUS4CL,3,851785
420806,仓储物流,INDUS4CL,3,851786
420807,公路货运,INDUS4CL,3,851787
420900,铁路公路,INDUS4CL,2,801179
420901,高速公路,INDUS4CL,3,851731
420902,公交,INDUS4CL,3,851721
420903,铁路运输,INDUS4CL,3,851771
421000,航空机场,INDUS4CL,2,801991
421001,航空运输,INDUS4CL,3,851741
421002,机场,INDUS4CL,3,851751
421100,航运港口,INDUS4CL,2,801992
421101,航运,INDUS4CL,3,851761
421102,港口,INDUS4CL,3,851711
430000,房地产,INDUS4CL,1,801180
430100,房地产开发,INDUS4CL,2,801181
430101,住宅开发,INDUS4CL,3,851811
430102,商业地产,INDUS4CL,3,851812
430103,产业地产,INDUS4CL,3,851813
430300,房地产服务,INDUS4CL,2,801183
430301,物业管理,INDUS4CL,3,851831
430302,房产租赁经纪,INDUS4CL,3,851832
430303,房地产综合服务,INDUS4CL,3,851833
450000,商贸零售,INDUS4CL,1,801200
450200,贸易Ⅱ,INDUS4CL,2,801202
450201,贸易Ⅲ,INDUS4CL,3,852021
450300,一般零售,INDUS4CL,2,801203
450301,百货,INDUS4CL,3,852031
450302,超市,INDUS4CL,3,852032
450303,多业态零售,INDUS4CL,3,852033
450304,商业物业经营,INDUS4CL,3,852034
450400,专业连锁Ⅱ,INDUS4CL,2,801204
450401,专业连锁Ⅲ,INDUS4CL,3,852041
450600,互联网电商,INDUS4CL,2,801206
450601,综合电商,INDUS4CL,3,852061
450602,跨境电商,INDUS4CL,3,852062
450603,电商服务,INDUS4CL,3,852063
450700,旅游零售Ⅱ,INDUS4CL,2,801207
450701,旅游零售Ⅲ,INDUS4CL,3,852071
460000,社会服务,INDUS4CL,1,801210
460600,体育Ⅱ,INDUS4CL,2,801216
460601,体育Ⅲ,INDUS4CL,3,852161
460700,本地生活服务Ⅱ,INDUS4CL,2,801217
460701,本地生活服务Ⅲ,INDUS4CL,3,852171
460800,专业服务,INDUS4CL,2,801218
460801,人力资源服务,INDUS4CL,3,852181
460802,检测服务,INDUS4CL,3,852182
460803,会展服务,INDUS4CL,3,852183
460804,其他专业服务,INDUS4CL,3,852184
460900,酒店餐饮,INDUS4CL,2,801219
460901,酒店,INDUS4CL,3,852121
460902,餐饮,INDUS4CL,3,852141
